file,date,symbol,signal_type,pivot1_price,pivot1_bar,pivot2_price,pivot2_bar
pine_10.csv,2026-08-10T17:34:00.000+03:30,BNBUSDT,HD-,601.71,825,601.55,841
pine_10.csv,2026-08-10T19:13:00.000+03:30,BNBUSDT,CD+,599.73,926,599.7,940
pine_10.csv,2026-08-10T23:01:00.000+03:30,BNBUSDT,HD+,600.36,1154,600.58,1168
pine_10.csv,2026-08-10T23:06:00.000+03:30,BNBUSDT,CD-,600.9,1165,601.0,1173
pine_10.csv,2026-08-11T04:17:00.000+03:30,BNBUSDT,HD+,599.08,1456,599.15,1484
pine_10.csv,2026-08-11T11:29:00.000+03:30,BNBUSDT,HD+,601.5,1906,601.51,1916
pine_10.csv,2026-08-11T19:55:00.000+03:30,BNBUSDT,CD-,609.79,2410,610.14,2422
pine_10.csv,2026-08-12T12:58:00.000+03:30,BNBUSDT,CD-,612.08,3439,612.49,3445
pine_10.csv,2026-08-12T18:40:00.000+03:30,BNBUSDT,HD-,611.2,3766,610.64,3787
pine_10.csv,2026-08-13T11:10:00.000+03:30,BNBUSDT,HD+,613.46,4760,613.58,4777
pine_10.csv,2026-08-13T16:10:00.000+03:30,BNBUSDT,HD-,610.29,5070,609.95,5077
pine_10.csv,2026-08-14T01:15:00.000+03:30,BNBUSDT,HD+,610.76,5600,610.93,5622
pine_10.csv,2026-08-14T12:14:00.000+03:30,BNBUSDT,HD-,607.86,6262,607.78,6281
pine_10.csv,2026-08-14T12:45:00.000+03:30,BNBUSDT,HD+,608.15,6304,608.25,6312
pine_10.csv,2026-08-14T13:38:00.000+03:30,BNBUSDT,HD-,607.97,6350,607.9,6365
pine_10.csv,2026-08-14T23:59:00.000+03:30,BNBUSDT,HD+,606.3,6960,606.43,6986
pine_10.csv,2026-08-15T04:06:00.000+03:30,BNBUSDT,HD-,608.01,7226,607.87,7233
pine_10.csv,2026-08-15T05:04:00.000+03:30,BNBUSDT,HD+,608.09,7280,608.17,7291
pine_10.csv,2026-08-15T09:13:00.000+03:30,BNBUSDT,CD+,610.42,7525,610.36,7540
pine_10.csv,2026-08-15T09:18:00.000+03:30,BNBUSDT,HD-,611.02,7531,610.94,7545
pine_10.csv,2026-08-15T17:03:00.000+03:30,BNBUSDT,HD-,610.53,7996,610.4,8010
pine_12.csv,2026-08-11T14:55:00.000+03:30,DOGEUSDT,HD+,0.07059,2109,0.07061,2122
pine_12.csv,2026-08-12T01:52:00.000+03:30,DOGEUSDT,HD+,0.0726,2770,0.07277,2779
pine_12.csv,2026-08-12T04:50:00.000+03:30,DOGEUSDT,HD+,0.07218,2936,0.07224,2957
pine_12.csv,2026-08-12T07:10:00.000+03:30,DOGEUSDT,CD-,0.07242,3086,0.07248,3097
pine_12.csv,2026-08-12T16:03:00.000+03:30,DOGEUSDT,CD+,0.07182,3625,0.0717,3630
pine_12.csv,2026-08-12T20:07:00.000+03:30,DOGEUSDT,CD-,0.07098,3858,0.07099,3874
pine_12.csv,2026-08-13T09:03:00.000+03:30,DOGEUSDT,HD+,0.07031,4643,0.07032,4650
pine_12.csv,2026-08-13T12:53:00.000+03:30,DOGEUSDT,HD-,0.07051,4860,0.07044,4880
pine_12.csv,2026-08-13T14:17:00.000+03:30,DOGEUSDT,HD-,0.07021,4943,0.07015,4964
pine_12.csv,2026-08-13T21:34:00.000+03:30,DOGEUSDT,HD+,0.06985,5377,0.06987,5401
pine_12.csv,2026-08-14T08:51:00.000+03:30,DOGEUSDT,HD-,0.06999,6066,0.06998,6078
pine_12.csv,2026-08-15T03:29:00.000+03:30,DOGEUSDT,HD+,0.06999,7175,0.07004,7196
pine_12.csv,2026-08-15T05:17:00.000+03:30,DOGEUSDT,HD-,0.07007,7294,0.07006,7303
pine_12.csv,2026-08-15T10:45:00.000+03:30,DOGEUSDT,HD+,0.07008,7605,0.07011,7630
pine_12.csv,2026-08-15T11:22:00.000+03:30,DOGEUSDT,CD+,0.07005,7656,0.07004,7667
pine_12.csv,2026-08-15T11:28:00.000+03:30,DOGEUSDT,HD-,0.07009,7659,0.07008,7673
pine_12.csv,2026-08-15T14:04:00.000+03:30,DOGEUSDT,CD+,0.07003,7822,0.07001,7829
pine_13.csv,2026-08-10T18:12:00.000+03:30,ETHUSDT,CD+,1898.04,873,1897.38,879
pine_13.csv,2026-08-10T21:59:00.000+03:30,ETHUSDT,HD-,1874.79,1087,1874.54,1106
pine_13.csv,2026-08-11T04:57:00.000+03:30,ETHUSDT,CD-,1877.85,1513,1878.57,1524
pine_13.csv,2026-08-11T05:15:00.000+03:30,ETHUSDT,HD+,1873.9,1520,1874.25,1542
pine_13.csv,2026-08-11T05:48:00.000+03:30,ETHUSDT,HD+,1877.7,1567,1878.03,1575
pine_13.csv,2026-08-11T06:52:00.000+03:30,ETHUSDT,CD-,1880.44,1633,1881.22,1639
pine_13.csv,2026-08-11T06:55:00.000+03:30,ETHUSDT,HD+,1879.61,1636,1879.74,1642
pine_13.csv,2026-08-11T07:04:00.000+03:30,ETHUSDT,HD+,1879.74,1642,1880.22,1651
pine_13.csv,2026-08-11T07:13:00.000+03:30,ETHUSDT,CD-,1881.29,1647,1881.78,1660
pine_13.csv,2026-08-11T14:57:00.000+03:30,ETHUSDT,HD+,1891.0,2117,1891.46,2124
pine_13.csv,2026-08-11T18:19:00.000+03:30,ETHUSDT,HD-,1881.25,2316,1878.6,2326
pine_13.csv,2026-08-11T18:25:00.000+03:30,ETHUSDT,CD+,1874.34,2320,1871.45,2332
pine_13.csv,2026-08-11T18:41:00.000+03:30,ETHUSDT,HD-,1878.6,2326,1877.63,2348
pine_13.csv,2026-08-12T00:56:00.000+03:30,ETHUSDT,HD+,1879.79,2691,1880.67,2723
pine_13.csv,2026-08-12T18:22:00.000+03:30,ETHUSDT,HD-,1897.6,3748,1895.31,3769
pine_13.csv,2026-08-12T23:42:00.000+03:30,ETHUSDT,CD+,1877.98,4073,1877.81,4089
pine_13.csv,2026-08-13T02:57:00.000+03:30,ETHUSDT,CD+,1875.3,4267,1874.81,4284
pine_13.csv,2026-08-13T03:19:00.000+03:30,ETHUSDT,CD-,1879.25,4299,1879.3,4306
pine_13.csv,2026-08-13T03:37:00.000+03:30,ETHUSDT,HD+,1878.0,4305,1878.9,4324
pine_13.csv,2026-08-13T07:01:00.000+03:30,ETHUSDT,HD+,1882.02,4510,1882.93,4528
pine_13.csv,2026-08-13T12:58:00.000+03:30,ETHUSDT,HD-,1890.05,4860,1886.83,4885
pine_13.csv,2026-08-13T16:03:00.000+03:30,ETHUSDT,CD-,1884.59,5056,1890.18,5070
