symbol,row,signal_type,signal_time,current_bar,current_time,current_bar_ok,p1_bar,p1_time,p1_time_ok,p1_price,p1_price_ok,p2_bar,p2_time,p2_time_ok,p2_price,p2_price_ok
BNBUSDT,0,HD-,2026-08-10 14:04:00+00:00,844,2026-08-10 14:04:00+00:00,True,825,2026-08-10 13:45:00+00:00,True,601.71,False,841,2026-08-10 14:01:00+00:00,True,601.55,False
BNBUSDT,1,CD+,2026-08-10 15:43:00+00:00,943,2026-08-10 15:43:00+00:00,True,926,2026-08-10 15:26:00+00:00,True,599.73,False,940,2026-08-10 15:40:00+00:00,True,599.7,False
BNBUSDT,2,HD+,2026-08-10 19:31:00+00:00,1171,2026-08-10 19:31:00+00:00,True,1154,2026-08-10 19:14:00+00:00,True,600.36,False,1168,2026-08-10 19:28:00+00:00,True,600.58,False
BNBUSDT,3,CD-,2026-08-10 19:36:00+00:00,1176,2026-08-10 19:36:00+00:00,True,1165,2026-08-10 19:25:00+00:00,True,600.9,False,1173,2026-08-10 19:33:00+00:00,True,601.0,False
BNBUSDT,4,HD+,2026-08-11 00:47:00+00:00,1487,2026-08-11 00:47:00+00:00,True,1456,2026-08-11 00:16:00+00:00,True,599.08,False,1484,2026-08-11 00:44:00+00:00,True,599.15,False
BNBUSDT,5,HD+,2026-08-11 07:59:00+00:00,1919,2026-08-11 07:59:00+00:00,True,1906,2026-08-11 07:46:00+00:00,True,601.5,False,1916,2026-08-11 07:56:00+00:00,True,601.51,False
BNBUSDT,6,CD-,2026-08-11 16:25:00+00:00,2425,2026-08-11 16:25:00+00:00,True,2410,2026-08-11 16:10:00+00:00,True,609.79,False,2422,2026-08-11 16:22:00+00:00,True,610.14,False
BNBUSDT,7,CD-,2026-08-12 09:28:00+00:00,3448,2026-08-12 09:28:00+00:00,True,3439,2026-08-12 09:19:00+00:00,True,612.08,False,3445,2026-08-12 09:25:00+00:00,True,612.49,False
BNBUSDT,8,HD-,2026-08-12 15:10:00+00:00,3790,2026-08-12 15:10:00+00:00,True,3766,2026-08-12 14:46:00+00:00,True,611.2,False,3787,2026-08-12 15:07:00+00:00,True,610.64,False
BNBUSDT,9,HD+,2026-08-13 07:40:00+00:00,4780,2026-08-13 07:40:00+00:00,True,4760,2026-08-13 07:20:00+00:00,True,613.46,False,4777,2026-08-13 07:37:00+00:00,True,613.58,False
BNBUSDT,10,HD-,2026-08-13 12:40:00+00:00,5080,2026-08-13 12:40:00+00:00,True,5070,2026-08-13 12:30:00+00:00,True,610.29,False,5077,2026-08-13 12:37:00+00:00,True,609.95,False
BNBUSDT,11,HD+,2026-08-13 21:45:00+00:00,5625,2026-08-13 21:45:00+00:00,True,5600,2026-08-13 21:20:00+00:00,True,610.76,False,5622,2026-08-13 21:42:00+00:00,True,610.93,False
BNBUSDT,12,HD-,2026-08-14 08:44:00+00:00,6284,2026-08-14 08:44:00+00:00,True,6262,2026-08-14 08:22:00+00:00,True,607.86,False,6281,2026-08-14 08:41:00+00:00,True,607.78,False
BNBUSDT,13,HD+,2026-08-14 09:15:00+00:00,6315,2026-08-14 09:15:00+00:00,True,6304,2026-08-14 09:04:00+00:00,True,608.15,False,6312,2026-08-14 09:12:00+00:00,True,608.25,False
BNBUSDT,14,HD-,2026-08-14 10:08:00+00:00,6368,2026-08-14 10:08:00+00:00,True,6350,2026-08-14 09:50:00+00:00,True,607.97,False,6365,2026-08-14 10:05:00+00:00,True,607.9,False
BNBUSDT,15,HD+,2026-08-14 20:29:00+00:00,6989,2026-08-14 20:29:00+00:00,True,6960,2026-08-14 20:00:00+00:00,True,606.3,False,6986,2026-08-14 20:26:00+00:00,True,606.43,False
BNBUSDT,16,HD-,2026-08-15 00:36:00+00:00,7236,2026-08-15 00:36:00+00:00,True,7226,2026-08-15 00:26:00+00:00,True,608.01,False,7233,2026-08-15 00:33:00+00:00,True,607.87,False
BNBUSDT,17,HD+,2026-08-15 01:34:00+00:00,7294,2026-08-15 01:34:00+00:00,True,7280,2026-08-15 01:20:00+00:00,True,608.09,False,7291,2026-08-15 01:31:00+00:00,True,608.17,False
BNBUSDT,18,CD+,2026-08-15 05:43:00+00:00,7543,2026-08-15 05:43:00+00:00,True,7525,2026-08-15 05:25:00+00:00,True,610.42,False,7540,2026-08-15 05:40:00+00:00,True,610.36,False
BNBUSDT,19,HD-,2026-08-15 05:48:00+00:00,7548,2026-08-15 05:48:00+00:00,True,7531,2026-08-15 05:31:00+00:00,True,611.02,False,7545,2026-08-15 05:45:00+00:00,True,610.94,False
BNBUSDT,20,HD-,2026-08-15 13:33:00+00:00,8013,2026-08-15 13:33:00+00:00,True,7996,2026-08-15 13:16:00+00:00,True,610.53,False,8010,2026-08-15 13:30:00+00:00,True,610.4,False
