symbol,row,signal_type,signal_time,current_bar,current_time,current_bar_ok,p1_bar,p1_time,p1_time_ok,p1_price,p1_price_ok,p2_bar,p2_time,p2_time_ok,p2_price,p2_price_ok
DOGEUSDT,0,HD+,2026-08-11 11:25:00+00:00,2125,2026-08-11 11:25:00+00:00,True,2109,2026-08-11 11:09:00+00:00,True,0.07059,False,2122,2026-08-11 11:22:00+00:00,True,0.07061,False
DOGEUSDT,1,HD+,2026-08-11 22:22:00+00:00,2782,2026-08-11 22:22:00+00:00,True,2770,2026-08-11 22:10:00+00:00,True,0.0726,False,2779,2026-08-11 22:19:00+00:00,True,0.07277,False
DOGEUSDT,2,HD+,2026-08-12 01:20:00+00:00,2960,2026-08-12 01:20:00+00:00,True,2936,2026-08-12 00:56:00+00:00,True,0.07218,False,2957,2026-08-12 01:17:00+00:00,True,0.07224,False
DOGEUSDT,3,CD-,2026-08-12 03:40:00+00:00,3100,2026-08-12 03:40:00+00:00,True,3086,2026-08-12 03:26:00+00:00,True,0.07242,False,3097,2026-08-12 03:37:00+00:00,True,0.07248,False
DOGEUSDT,4,CD+,2026-08-12 12:33:00+00:00,3633,2026-08-12 12:33:00+00:00,True,3625,2026-08-12 12:25:00+00:00,True,0.07182,False,3630,2026-08-12 12:30:00+00:00,True,0.0717,False
DOGEUSDT,5,CD-,2026-08-12 16:37:00+00:00,3877,2026-08-12 16:37:00+00:00,True,3858,2026-08-12 16:18:00+00:00,True,0.07098,False,3874,2026-08-12 16:34:00+00:00,True,0.07099,False
DOGEUSDT,6,HD+,2026-08-13 05:33:00+00:00,4653,2026-08-13 05:33:00+00:00,True,4643,2026-08-13 05:23:00+00:00,True,0.07031,False,4650,2026-08-13 05:30:00+00:00,True,0.07032,False
DOGEUSDT,7,HD-,2026-08-13 09:23:00+00:00,4883,2026-08-13 09:23:00+00:00,True,4860,2026-08-13 09:00:00+00:00,True,0.07051,False,4880,2026-08-13 09:20:00+00:00,True,0.07044,False
DOGEUSDT,8,HD-,2026-08-13 10:47:00+00:00,4967,2026-08-13 10:47:00+00:00,True,4943,2026-08-13 10:23:00+00:00,True,0.07021,False,4964,2026-08-13 10:44:00+00:00,True,0.07015,False
DOGEUSDT,9,HD+,2026-08-13 18:04:00+00:00,5404,2026-08-13 18:04:00+00:00,True,5377,2026-08-13 17:37:00+00:00,True,0.06985,False,5401,2026-08-13 18:01:00+00:00,True,0.06987,False
DOGEUSDT,10,HD-,2026-08-14 05:21:00+00:00,6081,2026-08-14 05:21:00+00:00,True,6066,2026-08-14 05:06:00+00:00,True,0.06999,False,6078,2026-08-14 05:18:00+00:00,True,0.06998,False
DOGEUSDT,11,HD+,2026-08-14 23:59:00+00:00,7199,2026-08-14 23:59:00+00:00,True,7175,2026-08-14 23:35:00+00:00,True,0.06999,False,7196,2026-08-14 23:56:00+00:00,True,0.07004,False
DOGEUSDT,12,HD-,2026-08-15 01:47:00+00:00,7306,2026-08-15 01:46:00+00:00,False,7294,2026-08-15 01:34:00+00:00,True,0.07007,False,7303,2026-08-15 01:43:00+00:00,True,0.07006,False
DOGEUSDT,13,HD+,2026-08-15 07:15:00+00:00,7633,2026-08-15 07:13:00+00:00,False,7605,2026-08-15 06:45:00+00:00,True,0.07008,False,7630,2026-08-15 07:10:00+00:00,True,0.07011,False
DOGEUSDT,14,CD+,2026-08-15 07:52:00+00:00,7670,2026-08-15 07:50:00+00:00,False,7656,2026-08-15 07:36:00+00:00,True,0.07005,False,7667,2026-08-15 07:47:00+00:00,True,0.07004,False
DOGEUSDT,15,HD-,2026-08-15 07:58:00+00:00,7676,2026-08-15 07:56:00+00:00,False,7659,2026-08-15 07:39:00+00:00,True,0.07009,False,7673,2026-08-15 07:53:00+00:00,True,0.07008,False
DOGEUSDT,16,CD+,2026-08-15 10:34:00+00:00,7832,2026-08-15 10:32:00+00:00,False,7822,2026-08-15 10:22:00+00:00,True,0.07003,False,7829,2026-08-15 10:29:00+00:00,True,0.07001,False
