symbol,row,signal_type,signal_time,current_bar,current_time,current_bar_ok,p1_bar,p1_time,p1_time_ok,p1_price,p1_price_ok,p2_bar,p2_time,p2_time_ok,p2_price,p2_price_ok
ETHUSDT,0,CD+,2026-08-10 14:42:00+00:00,882,2026-08-10 14:42:00+00:00,True,873,2026-08-10 14:33:00+00:00,True,1898.04,False,879,2026-08-10 14:39:00+00:00,True,1897.38,False
ETHUSDT,1,HD-,2026-08-10 18:29:00+00:00,1109,2026-08-10 18:29:00+00:00,True,1087,2026-08-10 18:07:00+00:00,True,1874.79,False,1106,2026-08-10 18:26:00+00:00,True,1874.54,False
ETHUSDT,2,CD-,2026-08-11 01:27:00+00:00,1527,2026-08-11 01:27:00+00:00,True,1513,2026-08-11 01:13:00+00:00,True,1877.85,False,1524,2026-08-11 01:24:00+00:00,True,1878.57,False
ETHUSDT,3,HD+,2026-08-11 01:45:00+00:00,1545,2026-08-11 01:45:00+00:00,True,1520,2026-08-11 01:20:00+00:00,True,1873.9,False,1542,2026-08-11 01:42:00+00:00,True,1874.25,False
ETHUSDT,4,HD+,2026-08-11 02:18:00+00:00,1578,2026-08-11 02:18:00+00:00,True,1567,2026-08-11 02:07:00+00:00,True,1877.7,False,1575,2026-08-11 02:15:00+00:00,True,1878.03,False
ETHUSDT,5,CD-,2026-08-11 03:22:00+00:00,1642,2026-08-11 03:22:00+00:00,True,1633,2026-08-11 03:13:00+00:00,True,1880.44,False,1639,2026-08-11 03:19:00+00:00,True,1881.22,False
ETHUSDT,6,HD+,2026-08-11 03:25:00+00:00,1645,2026-08-11 03:25:00+00:00,True,1636,2026-08-11 03:16:00+00:00,True,1879.61,False,1642,2026-08-11 03:22:00+00:00,True,1879.74,False
ETHUSDT,7,HD+,2026-08-11 03:34:00+00:00,1654,2026-08-11 03:34:00+00:00,True,1642,2026-08-11 03:22:00+00:00,True,1879.74,False,1651,2026-08-11 03:31:00+00:00,True,1880.22,False
ETHUSDT,8,CD-,2026-08-11 03:43:00+00:00,1663,2026-08-11 03:43:00+00:00,True,1647,2026-08-11 03:27:00+00:00,True,1881.29,False,1660,2026-08-11 03:40:00+00:00,True,1881.78,False
ETHUSDT,9,HD+,2026-08-11 11:27:00+00:00,2127,2026-08-11 11:27:00+00:00,True,2117,2026-08-11 11:17:00+00:00,True,1891.0,False,2124,2026-08-11 11:24:00+00:00,True,1891.46,False
ETHUSDT,10,HD-,2026-08-11 14:49:00+00:00,2329,2026-08-11 14:49:00+00:00,True,2316,2026-08-11 14:36:00+00:00,True,1881.25,False,2326,2026-08-11 14:46:00+00:00,True,1878.6,False
ETHUSDT,11,CD+,2026-08-11 14:55:00+00:00,2335,2026-08-11 14:55:00+00:00,True,2320,2026-08-11 14:40:00+00:00,True,1874.34,False,2332,2026-08-11 14:52:00+00:00,True,1871.45,False
