symbol,row,signal_type,signal_time,current_bar,current_time,current_bar_ok,p1_bar,p1_time,p1_time_ok,p1_price,p1_price_ok,p2_bar,p2_time,p2_time_ok,p2_price,p2_price_ok
LTCUSDT,0,CD-,2026-08-10 14:46:00+00:00,886,2026-08-10 14:46:00+00:00,True,877,2026-08-10 14:37:00+00:00,True,45.55,False,883,2026-08-10 14:43:00+00:00,True,45.56,False
LTCUSDT,1,HD+,2026-08-11 02:17:00+00:00,1577,2026-08-11 02:17:00+00:00,True,1567,2026-08-11 02:07:00+00:00,True,45.27,False,1574,2026-08-11 02:14:00+00:00,True,45.28,False
LTCUSDT,2,CD+,2026-08-11 07:18:00+00:00,1878,2026-08-11 07:18:00+00:00,True,1854,2026-08-11 06:54:00+00:00,True,45.04,False,1875,2026-08-11 07:15:00+00:00,True,45.01,False
LTCUSDT,3,HD-,2026-08-11 14:19:00+00:00,2299,2026-08-11 14:19:00+00:00,True,2285,2026-08-11 14:05:00+00:00,True,45.16,False,2296,2026-08-11 14:16:00+00:00,True,45.12,False
LTCUSDT,4,HD+,2026-08-12 01:28:00+00:00,2967,2026-08-12 01:27:00+00:00,False,2937,2026-08-12 00:57:00+00:00,True,45.51,False,2964,2026-08-12 01:24:00+00:00,True,45.52,False
LTCUSDT,5,HD+,2026-08-12 09:43:00+00:00,3461,2026-08-12 09:41:00+00:00,False,3448,2026-08-12 09:28:00+00:00,True,45.36,False,3458,2026-08-12 09:38:00+00:00,True,45.37,False
LTCUSDT,6,HD-,2026-08-13 01:44:00+00:00,4422,2026-08-13 01:42:00+00:00,False,4396,2026-08-13 01:16:00+00:00,True,44.85,False,4419,2026-08-13 01:39:00+00:00,True,44.83,False
LTCUSDT,7,HD-,2026-08-13 04:51:00+00:00,4609,2026-08-13 04:49:00+00:00,False,4596,2026-08-13 04:36:00+00:00,True,44.96,False,4606,2026-08-13 04:46:00+00:00,True,44.95,False
LTCUSDT,8,HD-,2026-08-13 12:02:00+00:00,5040,2026-08-13 12:00:00+00:00,False,5025,2026-08-13 11:45:00+00:00,True,44.73,False,5037,2026-08-13 11:57:00+00:00,True,44.71,False
LTCUSDT,9,CD+,2026-08-13 14:13:00+00:00,5171,2026-08-13 14:11:00+00:00,False,5159,2026-08-13 13:59:00+00:00,True,44.72,False,5168,2026-08-13 14:08:00+00:00,True,44.66,False
LTCUSDT,10,CD+,2026-08-14 12:58:00+00:00,6536,2026-08-14 12:56:00+00:00,False,6526,2026-08-14 12:46:00+00:00,True,44.39,False,6533,2026-08-14 12:53:00+00:00,True,44.38,False
LTCUSDT,11,HD-,2026-08-14 13:04:00+00:00,6542,2026-08-14 13:02:00+00:00,False,6529,2026-08-14 12:49:00+00:00,True,44.43,False,6539,2026-08-14 12:59:00+00:00,True,44.41,False
LTCUSDT,12,HD+,2026-08-15 01:58:00+00:00,7316,2026-08-15 01:56:00+00:00,False,7296,2026-08-15 01:36:00+00:00,True,43.75,False,7313,2026-08-15 01:53:00+00:00,True,43.78,False
LTCUSDT,13,CD-,2026-08-15 02:41:00+00:00,7359,2026-08-15 02:39:00+00:00,False,7349,2026-08-15 02:29:00+00:00,True,43.97,False,7356,2026-08-15 02:36:00+00:00,True,44.0,False
LTCUSDT,14,HD-,2026-08-15 08:36:00+00:00,7714,2026-08-15 08:34:00+00:00,False,7683,2026-08-15 08:03:00+00:00,True,44.05,False,7711,2026-08-15 08:31:00+00:00,True,44.04,False
